2007_SiteID,SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,ECO_BIO,IM_COMMENT,2012_Chloride,2007_Chloride,chloride_Difference
NLA06608-0024,NLA12_TX-105,1,6860,6/28/2012 0:00,PLNLOW,CPL,9530.145377,F:500+,No,NLA07RVT,NLA07_RVT12,Include,7.741669458,HENDERSON,4451216,4451216,4451216,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,105.13,Region_6,Lake Palestine,TargetSampleable,141,,PLNLOW,CPL,1343455,Lake Palestine,12,12020001,MAN_MADE,RESERVOIR,32.18872936,-95.47435666,12_13,NonREF07,No,8,8.3,8.3.7,Lake Palestine,NESLake,4824,4824,Non Federal,Non-Federal,NLA07RVT,239.2874392,1.20E+13,T,Y,PROB,>50,,,,NLA12_TX-105,TX_NLA07RVT,0,,0,TX,TX,100,48423,Target_Sampled,,TX_NLA07RVT,Target,,Yes,35,35,35a,35a,7.741669458,TX_>4,2.666666667,49316.2107,-593836.9228,CPL,,24.651,19.446,5.205
NLA06608-0031,NLA12_OH-106,1,8256,8/27/2012 0:00,EHIGH,SAP,24.24931458,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,133.6314581,NOBLE,15429940,15429940,15429940,Lake/Pond: Hydrographic Category = Perennial,Included,241.93,Region_5,Caldwell Lake,TargetSampleable,150,,EHIGH,SAP,1078854,Caldwell Lake,5,5030201,MAN_MADE,RESERVOIR,39.77597099,-81.52247236,05_06,NonREF07,Yes,8,8.4,8.4.3,Caldwell Lake,,,,Non Federal,Non-Federal,NLA07RVT,5.281604947,5.03E+12,S,Y,PROB,"(20,50]",,,,NLA12_OH-106,OH_NLA07RVT,0,,0,OH,OH,100,39121,Target_Sampled,,OH_NLA07RVT,Target,,Yes,70,70,70b,70b,133.6314581,OH_>4,2.714285714,1224202.64,348517.7093,EHIGH,,5.259,8.729,-3.47
NLA06608-0033,NLA12_WA-102,1,7685,8/2/2012 0:00,WMTNS,WMT,15.16452384,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,92.29875177,KITTITAS,24136857,24136857,24136857,Lake/Pond: Hydrographic Category = Perennial,Included,732.43,Region_10,Swamp Lake,TargetSampleable,120,West,WMTNS,WMT,1526829,Swamp Lake,17,17030001,NATURAL,NATURAL,47.31085035,-121.29956,17,NonREF07,No,6,6.2,6.2.5,Swamp Lake,,,,Forest Service,National Forest FS,NLA07RVT,1.777964491,1.70E+13,S,Y,PROB,"(10,20]",,,,NLA12_WA-102,WA_NLA07RVT,0,,0,WA,WA,100,53037,Target_Sampled,,WA_NLA07RVT,Target,,No,77,77,77b,77b,92.29875177,WA_>4,2.545454546,-1901277.508,1349868.011,WMTNS,,0.324,0.767,-0.443
NLA06608-0036,NLA12_IL-R01,1,6518,6/11/2012 0:00,EHIGH,SAP,12.02754764,C:10-50,No,,,,,HARDIN,11867374,11867374,11867374,Lake/Pond: Hydrographic Category = Perennial,Excluded,113.39,Region_5,WHOOPLE CAT LAKE,TargetSampleable,150,East,EHIGH,SAP,424135,Whoople Cat Lake,5,5140203,MAN_MADE,MAN_MADE,37.47735207,-88.32742822,05_06,,Yes,8,8.3,8.3.3,Whoople Cat Lake,,,,Forest Service,National Forest FS,,1.782979574,5.14E+12,S,Y,HAND,,,,,NLA12_IL-R01,,0,,0,IL,IL,100,17069,Target_Sampled,,,Target,,No,71,71,71n,71n,,,0,671369.6569,24578.33535,EHIGH,LAKE_ORIGIN inferred from HYDRO_TYPE and OUTLET_DAMS,0.22,0.377,-0.157
NLA06608-0045,NLA12_VA-101,1,7054,7/10/2012 0:00,EHIGH,SAP,28.83811387,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,47.31527597,AMELIA,8606221,8606221,8606221,Lake/Pond: Hydrographic Category = Perennial,Included,65.73,Region_3,Beaver Pond,TargetSampleable,157,,EHIGH,SAP,1489117,Beaver Pond,2,2080207,MAN_MADE,MAN_MADE,37.29244811,-77.89349456,2,NonREF07,No,8,8.3,8.3.4,Beaver Pond,,,,Non Federal,Non-Federal,NLA07RVT2,4.086384821,2.08E+12,S,Y,PROB,"(20,50]",,,,NLA12_VA-101,VA_NLA07RVT,0,,0,VA,VA,100,51007,Target_Sampled,,VA_NLA07RVT,Target,,No,45,45,45f,45f,47.31527597,VA_>4,1.75,1580433.544,127756.1372,EHIGH,,4.929,4.068,0.861
NLA06608-0064,NLA12_MT-108,1,7133,7/11/2012 0:00,PLNLOW,NPL,25.20793107,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,15.03551325,TOOLE,12337192,12337192,12337192,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,1208,Region_8,Fitzpatrick Lake,TargetSampleable,142,,PLNLOW,NPL,771408,Fitzpatrick Lake,10,10050002,NATURAL,NATURAL,48.89407384,-112.1682796,10,NonREF07,Yes,9,9.3,9.3.1,Fitzpatrick Lake,,,,Non Federal,Non-Federal,NLA07RVT,2.061274641,1.01E+13,T,Y,PROB,"(20,50]",,,,NLA12_MT-108,MT_NLA07RVT,0,,0,MT,MT,100,30101,Target_Sampled,,MT_NLA07RVT,Target,,No,42,42,42n,42n,15.03551325,MT_>4,2.461538462,-1194057.633,1371618.713,PLAINS,LAKE_ORIGIN changed (MAN_MADE),49.537,76.679,-27.142
NLA06608-0065,NLA12_MT-105,1,8476,9/11/2012 0:00,WMTNS,WMT,89.52244797,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,20.98292535,LINCOLN,22886879,22886879,22886879,Lake/Pond: Hydrographic Category = Perennial,Included,766.43,Region_8,Sophie Lake,TargetSampleable,120,,WMTNS,WMT,790855,Sophie Lake,17,17010101,NATURAL,NATURAL,48.96435342,-115.1157742,17,NonREF07,No,6,6.2,6.2.3,Sophie Lake,,,,Non Federal,Non-Federal,NLA07RVT,7.365627576,1.70E+13,S,Y,PROB,>50,,,,NLA12_MT-105,MT_NLA07RVT,0,,0,MT,MT,100,30053,Target_Sampled,,MT_NLA07RVT,Target,,No,15,15,15d,15d,20.98292535,MT_>4,2.461538462,-1407479.75,1419555.623,WMTNS,,0.838,0.392,0.446
NLA06608-0068,NLA12_CO-107,1,8297,8/29/2012 0:00,WMTNS,WMT,50.09886464,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,33.9172379,SAN MIGUEL,18377442,18377442,18377442,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,2959.6,Region_8,Trout Lake,TargetSampleable,130,,WMTNS,WMT,187483,Trout Lake,14,14030003,MAN_MADE,RESERVOIR,37.8246388,-107.885134,14,NonREF07,No,6,6.2,6.2.14,Trout Lake,,,,Non Federal,National Forest FS,NLA07RVT,3.228831558,1.40E+13,S,Y,PROB,>50,,,,NLA12_CO-107,CO_NLA07RVT,0,,0,CO,CO,100,8113,Target_Sampled,,CO_NLA07RVT,Target,,No,21,21,21e,21e,33.9172379,CO_>4,2.1,-1033543.435,101097.2201,WMTNS,"TNT, EVALSTAT changed (missing)",0.336,0.338,-0.002
NLA06608-0069,NLA12_FL-106,1,6232,5/20/2012 0:00,PLNLOW,CPL,24.47050394,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,4.695737719,SEMINOLE,10994747,10994747,10994747,Lake/Pond: Hydrographic Category = Perennial,Included,11.26,Region_4,Horseshoe Lake,TargetSampleable,156,,PLNLOW,CPL,284311,Horseshoe Lake,3,3080101,NATURAL,NATURAL,28.63737421,-81.13770674,3,REF07,No,8,8.5,8.5.3,Horseshoe Lake,NESLake,1219,1219,Non Federal,Non-Federal,NLA07RVT,2.39891519,3.08E+12,S,Y,PROB,"(20,50]",,,,NLA12_FL-106,FL_NLA07RVT,0,,0,FL,FL,100,12117,Target_Sampled,,FL_NLA07RVT,Target,,Yes,75,75,75c,75c,4.695737719,FL_>4,1,1450151.157,-874756.2907,CPL,,37.738,28.742,8.996
NLA06608-0071,NLA12_LA-101,1,6572,6/12/2012 0:00,PLNLOW,CPL,460.2092131,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,5.970162918,CONCORDIA,19367808,19367808,19367808,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,15.17,Region_6,Lake Concordia,TargetSampleable,149,,PLNLOW,CPL,554067,Lake Concordia,8,8040306,NATURAL,NATURAL_ENH,31.66739711,-91.50773471,8,NonREF07,Yes,8,8.5,8.5.2,Lake Concordia,NESLake,2209,2209,Non Federal,Non-Federal,NLA07RVT2,30.1084479,8.04E+12,T,Y,PROB,>50,,,,NLA12_LA-101,LA_NLA07RVT,0,,0,LA,LA,100,22029,Target_Sampled,,LA_NLA07RVT,Target,,Yes,73,73,73k,73k,5.970162918,LA_>4,1.6,424056.9159,-642027.0744,CPL,,6.309,7.953,-1.644
NLA06608-0076,NLA12_MO-103,1,7255,7/17/2012 0:00,PLNLOW,TPL,3008.069261,F:500+,No,NLA07RVT,NLA07_RVT12,Include,31.53063187,CLAY,5108638,2529647,5108638,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,264.36,Region_7,Smithville Reservoir,TargetSampleable,143,,PLNLOW,TPL,763058,Trimble Wildlife Lake,10,10240012,MAN_MADE,RESERVOIR,39.41430868,-94.49779458,10,NonREF07,Yes,9,9.2,9.2.4,Trimble Wildlife Lake,,,,Non Federal,Non-Federal,NLA07RVT,176.1627203,1.02E+13,R,Y,PROB,>50,,,,NLA12_MO-103,MO_NLA07RVT,0,,0,MO,MO,100,29049,Target_Sampled,,MO_NLA07RVT,Target,,Yes,40,40,40a,40a,31.53063187,MO_>4,2.714285714,128152.7055,215571.4637,PLAINS,,9.338,9.964,-0.626
NLA06608-0077,NLA12_NJ-102,1,7151,7/12/2012 0:00,EHIGH,NAP,65.32853198,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,78.36173995,MORRIS,6248768,6248768,6248768,Lake/Pond: Hydrographic Category = Perennial,Included,238.18,Region_2,Mount Hope Lake,TargetSampleable,118,,EHIGH,NAP,878547,Mount Hope Lake,2,2030103,MAN_MADE,MAN_MADE,40.92768105,-74.53808878,2,NonREF07,No,5,5.3,5.3.1,Mount Hope Lake,,,,Non Federal,Non-Federal,NLA07RVT,5.103482127,2.03E+12,T,Y,PROB,>50,NJ_2011,NonREF07,NLA07RVT,NLA12_NJ-102,NJ_NLA07RVT_NJ_Other,0,,2,NJ,NJ,100,34027,Target_Sampled,,NJ_NLA07RVT,Target,,Yes,58,58,58i,58i,78.36173995,NJ_>4,2,1777495.931,585675.2478,EHIGH,,35.124,34.931,0.193
NLA06608-0079,NLA12_CO-R01,1,8258,8/27/2012 0:00,WMTNS,WMT,130.9079857,E:100-500,No,,,,,GARFIELD,1343650,1343650,1343650,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Excluded,2934,Region_8,TRAPPERS LAKE,TargetSampleable,130,West,WMTNS,WMT,173679,Trappers Lake,14,14050005,NATURAL,NATURAL,39.9856728,-107.231024,14,,No,6,6.2,6.2.14,Trappers Lake,,,,Forest Service,Wilderness FS,,6.588211364,1.41E+13,S,Y,HAND,,,,,NLA12_CO-R01,,0,,0,CO,CO,100,8045,Target_Sampled,,,Target,,No,21,21,21e,21e,,,0,-948377.3246,334690.9175,WMTNS,LAKE_ORIGIN inferred from HYDRO_TYPE and OUTLET_DAMS,0.156,0.186,-0.03
NLA06608-0083,NLA12_ND-107,1,7068,7/10/2012 0:00,PLNLOW,NPL,48.33322448,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,145.0389708,MCINTOSH,14747730,14747730,14747730,Lake/Pond: Hydrographic Category = Perennial,Included,590.81,Region_8,Camp Lake,TargetSampleable,142,,PLNLOW,NPL,,,10,10130106,NATURAL,NATURAL,45.95348274,-99.13577087,10,NonREF07,Yes,9,9.3,9.3.1,,,,,Non Federal,Non-Federal,NLA07RVT,4.992902549,1.01E+13,S,Y,PROB,"(20,50]",,,,NLA12_ND-107,ND_NLA07RVT,0,,0,ND,ND,100,38051,Target_Sampled,,ND_NLA07RVT,Target,,No,42,42,42a,42a,145.0389708,ND_>4,2.642857143,-243379.5475,948926.2871,PLAINS,,100.876,138.254,-37.378
NLA06608-0085,NLA12_ID-107,1,1000019,6/25/2012 0:00,WMTNS,XER,33.42354611,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,42.93237433,ADA,23406359,120053994,23406359,Lake/Pond: Hydrographic Category = Perennial,Included,973.07,Region_10,Blacks Creek Reservoir,TargetSampleable,121,,WMTNS,XER,,,17,17050114,MAN_MADE,RESERVOIR,43.46019017,-116.1413012,17,NonREF07,No,10,10.1,10.1.8,,,,,Non Federal,Non-Federal,NLA07RVT,2.786720526,1.71E+13,T,Y,PROB,"(20,50]",,,,NLA12_ID-107,ID_NLA07RVT,0,,0,ID,ID,100,16001,Target_Sampled,,ID_NLA07RVT,Target,,Yes,12,12,12h,12h,42.93237433,ID_>4,2.7,-1610246.671,838584.4776,WMTNS,,2.031,3.878,-1.847
NLA06608-0086,NLA12_WA-107,1,1000107,7/31/2012 0:00,WMTNS,WMT,101.3084781,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,24.78649861,CLARK,23740719,23740719,23740719,Lake/Pond: Hydrographic Category = Perennial,Included,55.6,Region_10,Lacamas Lake,TargetSampleable,121,,WMTNS,WMT,1521814,Lacamas Lake,17,17080001,MAN_MADE,MAN_MADE,45.61684794,-122.4258001,17,NonREF07,No,7,7.1,7.1.9,Lacamas Lake,,,,Non Federal,Non-Federal,NLA07RVT,8.995293552,1.71E+13,S,Y,PROB,>50,,,,NLA12_WA-107,WA_NLA07RVT,0,,0,WA,WA,100,53011,Target_Sampled,,WA_NLA07RVT,Target,,Yes,3,3,3a,3a,24.78649861,WA_>4,2.545454546,-2035310.964,1192340.713,WMTNS,,3.167,3.344,-0.177
NLA06608-0099,NLA12_WI-102,1,1000028,6/27/2012 0:00,PLNLOW,TPL,314.752087,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,19.6240585,WAUKESHA,13290898,13290898,13290898,Lake/Pond: Hydrographic Category = Perennial,Included,262.37,Region_5,Oconomowoc Lake,TargetSampleable,148,,PLNLOW,TPL,1570739,Oconomowoc Lake,7,7090001,NATURAL,NATURAL_ENH,43.09787438,-88.4621617,7,NonREF07,Yes,8,8.2,8.2.1,Oconomowoc Lake,NESLake,5532,5532,Non Federal,Non-Federal,NLA07RVT,11.02082103,7.09E+12,S,Y,PROB,>50,,NonREF07,NLA07RVT,NLA12_WI-102,WI_NLA07RVT,0,,3,WI,WI,100,55133,Target_Sampled,,WI_NLA07RVT,Target,,Yes,53,53,53b,53b,19.6240585,WI_>4,2.625,609735.7274,651043.1018,PLAINS,,53.7,47.539,6.161
NLA06608-0101,NLA12_NY-0103,1,8647,9/19/2012 0:00,EHIGH,NAP,61.41492971,D:50-100,Yes,NLA07RVT,NLA07_RVT12,Include,90.73733732,LITCHFIELD,7709574,7709574,7709574,Lake/Pond: Hydrographic Category = Perennial,Included,532.8,Region_1,Riga Lake,TargetSampleable,118,,EHIGH,NAP,210190,Riga Lake,1,1100005,MAN_MADE,MAN_MADE,42.02259255,-73.48550577,1,NonREF07,No,5,5.3,5.3.1,Riga Lake,,,,Non Federal,Non-Federal,NLA07RVT,4.569696265,1.10E+12,R,Y,PROB,>50,NLA_NY,NonREF07,NLA07RVT,NLA12_NY-0103,CT_NLA07RVT,0,,8,CT,NY:CT,99,9005,Target_Sampled,,CT_NLA07RVT,Target,,No,58,58,58a,58a,90.73733732,CT_>4,8,1834312.016,724960.5427,EHIGH,"POLY_MATCH changed (missing). Majority of lake in CT, assigned to CT list.  NY should not sample this lake",0.45,0.516,-0.066
NLA06608-0102,NLA12_ME-106,1,7570,7/31/2012 0:00,EHIGH,NAP,51.55268124,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,97.0831352,OXFORD,6709871,6709871,6709871,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,330.37,Region_1,Howard Pond,TargetSampleable,118,,EHIGH,NAP,568392,Howard Pond,1,1040002,NATURAL,NATURAL,44.5061147,-70.72230229,1,NonREF07,No,5,5.3,5.3.1,Howard Pond,,,,Non Federal,Non-Federal,NLA07RVT,3.989093651,1.04E+12,S,Y,PROB,>50,,,,NLA12_ME-106,ME_NLA07RVT,0,,0,ME,ME,100,23017,Target_Sampled,,ME_NLA07RVT,Target,,No,58,58,58p,58p,97.0831352,ME_>4,1,1981513.305,1049039.133,EHIGH,,1,0.765,0.235
